year,month,day,time,depth,site,long,lat,Astyris lunata,Bittiolum alternatum,Margarites spp.,Arrhoges occidentalis,Diaphana minuta,Crepidula spp.,Other Gastropods,Mytilus spp.,Modiolus modiolus,Anomia simplex,Other Bivalve,Electra pilosa,Membranipora membranacea,Carcinus maenas,Cancer irroratus,Neopanopeus sayi,Crangon septemspinosa
2008,8,7,10:40:00   ,3,5,45.75781667,-61.87513333,4.478315424,0.373192952,9.516420276,0.373192952,1.679368284,4.478315424,1.119578856,9.516420276,0.186596476,0.559789428,8.770034372,12.50196389,0.186596476,0.059371606,0.16963316,0,0.271413056
2008,8,8,9:05:00,3,5,45.75781667,-61.87513333,12.5483524,0,5.377865315,0.717048709,0.896310886,7.708273618,1.792621772,12.01056587,0.537786532,0.896310886,4.660816606,3.943767898,0,0.105084725,0.173080723,0.006181454,0.080358907
2008,8,7,12:14:00,12,6,45.77986667,-61.79735,31.83372157,3.930089083,11.1352524,0.786017817,4.978112838,22.66351371,1.703038603,5.633127685,0.262005939,0.655014847,1.965044541,35.50180471,0.393008908,0.052401188,2.305652262,0,1.074224349
2008,August,7,13:47:00,12,7,45.80723333,-61.69651667,21.16198771,1.95341425,4.883535625,0.162784521,1.302276167,2.767336854,0.651138083,3.744043979,0.325569042,0.488353562,1.302276167,18.55743537,0.162784521,0,1.17204855,0,1.041820933
2008,8,7,15:28:00 ,12,8,45.82606667,-61.58806667,0.324484682,0.378565463,1.027534828,0.05408078,0.135201951,0.02704039,0.243363512,1.135696389,0,0.676009755,0.351525073,1.027534828,0,0,0.045067317,0,0.009013463
2008,8,7,17:05:00,12,9,45.73428333,-61.62138333,23.56029977,0.292674531,4.682792501,0.146337266,2.634070782,2.634070782,0.731686328,0.585349063,0.292674531,0.292674531,0.731686328,23.8529743,0.146337266,0.087802359,0.453645524,0,0.9365585
2008,8,7,18:48:00,12,10,45.71146667,-61.7807,33.05106371,0.431100831,26.15345042,0.287400554,5.460610527,7.903515236,0.862201662,20.83654017,1.724403324,0.431100831,19.83063823,8.334616067,0.143700277,0.033161602,0.431100831,0,0.82904006
2008,8,8,11:00:00,12,11,45.85725,-61.84395,3.975229209,0.722768947,20.96029947,1.084153421,0.722768947,10.11876526,2.891075788,50.23244182,1.084153421,7.589073944,23.85137525,32.88598709,1.084153421,0,1.156430315,0,0.939599631
2008,8,8,12:43:00,12,12,45.9312,-61.88518333,1.236163619,0.137351513,0.091567675,0.091567675,0.045783838,1.327731295,0.595189891,0.457838377,0,0,0.228919189,14.74239576,0.366270702,0,2.060272699,0,0.503622215
2008,8,8,13:30:00,12,13,45.98245,-61.74613333,1.394405637,0,48.33939541,0.464801879,1.859207516,0,6.042424426,404.8424366,0.464801879,18.59207516,12.08484885,23.24009395,0,0.051644653,3.201968499,0,3.356902459
2008,8,8,15:18:00,12,14,45.92628333,-61.62596667,1.883173406,0,13.18221384,0.376634681,0.376634681,1.506538725,0.941586703,36.72188142,0.188317341,3.954664153,0.941586703,24.48125428,0,0.125544894,2.510897875,0,1.00435915
2008,8,8,17:11:00 ,12,15,45.8942,-61.7325,0.040234447,0.080468895,19.67464475,0.120703342,0.442578921,0.523047815,0.643751157,33.67623242,0.281641131,1.448440104,10.17931518,9.374626229,0,0.010058612,0.050293059,0,0.060351671
2008,8,8,9:18:00,3,5,45.75781667,-61.87513333,38.64881552,24.78244659,26.84765047,0,3.835378639,5.31052427,1.47514563,9.145902909,2.065203883,0,9.145902909,12.98128155,0,0.126441054,1.685880721,0.042147018,0.295029126
2008,8,7,12:29:00,3,6,45.77986667,-61.79735,28.5133676,0.581905461,37.24194951,1.551747896,11.83207771,1.551747896,1.93968487,23.08224996,0.581905461,0.581905461,24.63399785,4.461275202,0.193968487,0.043104108,0.123154595,0.043104108,0.141627784
2008,8,7,14:07:00,3,7,45.80723333,-61.69651667,11.66439873,2.812691893,6.618098572,0,0.992714786,0.661809857,0.082726232,2.3163345,1.406345947,0,1.737250875,15.63525788,0,0,0.827262322,0,0.082726232
2008,8,7,15:41:00,3,8,45.82606667,-61.58806667,1.307556741,0.08527544,1.193856155,0.028425147,0.426377198,0.08527544,0.028425147,0.653778371,0.113700586,0.056850293,0.312676612,0.653778371,0,0,0.142125733,0,0.014212573
2008,8,7,17:18:00,3,9,45.73428333,-61.62138333,4.367840966,0.299753792,3.29729171,0.04282197,1.284659108,1.070549256,0.299753792,1.284659108,0.556685613,0.04282197,0.428219703,19.8693942,0.085643941,0.073409092,1.027727286,0.073409092,0.048939395
2008,8,7,19:02:00,3,10,45.71146667,-61.7807,1.329765834,0.541756451,5.56531627,0.492505865,0.83725997,1.477517594,0.147751759,3.792295158,1.379016421,0,1.083512901,2.117775218,0,0.006156323,0.049250586,0,0.01846897
2008,8,8,11:14:00,3,11,45.85725,-61.84395,0.544404607,2.372048645,5.988450678,0.174987195,2.741466057,1.399897561,0.116658131,3.791389228,2.877567209,0.097215108,2.138732386,2.624807927,0,0.012962014,0.479594535,0.012962014,0.038886043
2008,8,8,12:26:00,3,12,45.9312,-61.88518333,4.233842213,0.123515656,3.266302906,0.096067733,0.205859427,0.253893293,0.061757828,0.054895847,0.583268376,0,0.192135465,1.029297134,0.006861981,0.05855557,0.322055637,0,0
2008,8,8,13:43:00,3,13,45.98245,-61.74613333,23.42136763,1.653273009,20.39036711,1.928818511,3.58209152,11.84845657,0.826636506,6.062001034,0.826636505,0,3.857637022,12.95063857,0.551091003,1.285879007,8.266365046,0,1.102182006
2008,8,8,15:33:00,3,14,45.92628333,-61.62596667,2.099421331,0.135446537,1.354465375,0.135446537,0.507924516,1.049710665,0.304754709,0.846540859,0.067723269,0.033861634,0.609509419,3.081408728,0,0.090297692,2.076846908,0,0.338616344
2008,8,8,17:19:00,3,15,45.8942,-61.7325,4.649749031,0.978894533,1.631490888,0.081574544,0.489447266,1.060469077,0.407872722,0.978894533,0,0,1.142043621,6.607538096,0,0.032629818,0.815745444,0,0
2008,8,11,20:06:00,12,5,45.75781667,-61.87513333,3.51909764,0.060674097,12.92358271,0.364044583,0.182022292,2.366289792,0.364044583,19.53705931,0.242696389,1.334830139,1.880897015,7.766284447,0,0.242696389,0.728089167,0,0.910111459
2008,8,12,16:39:00,12,6,45.77986667,-61.79735,21.9575543,0.963050627,24.84670619,1.926101255,2.889151882,15.60142016,4.044812635,26.00236694,0.385220251,5.585693639,3.85220251,32.35850108,0.577830376,0,1.348270878,0,0.577830376
2008,8,12,15:00:00,12,7,45.80723333,-61.69651667,5.133253952,0,23.09964278,3.422169301,7.699880928,7.699880928,0.855542325,29.94398139,0.855542325,5.988796277,4.277711627,21.38855813,0.855542325,0,4.277711627,0,0.855542325
2008,8,12,13:17:00,12,8,45.82606667,-61.58806667,5.996409557,0.473400755,10.88821735,0.394500629,1.262402012,4.260606791,0.867901383,24.77463949,0.315600503,4.418407042,5.680809054,24.22233861,0.394500629,0.236700377,4.102806539,0,1.656902641
2008,8,12,11:08:00,12,9,45.73428333,-61.62138333,6.224446437,0.200788595,6.023657843,0.267718126,0.736224847,1.606308758,0.602365784,16.19694664,0.133859063,6.157516906,4.283490021,18.40562119,0.267718126,0,1.003942974,0,1.740167821
